TransactionNo,Date,ProductNo,ProductName,Price,Quantity,CustomerNo,Country,SalesTotal,SatuanRp,is_outlier,Day,Month,DayOfMonth
580665,2019-12-05,22616,Pack Of 12 London Tissues,7.24,432,16684.0,United Kingdom,3127.6800000000003,"Rp 69,589,003",1,Thursday,12,5
580170,2019-12-02,22197,Popcorn Holder,6.19,1000,17949.0,United Kingdom,6190.0,"Rp 137,723,786",1,Monday,12,2
580243,2019-12-02,21915,Red Harmonica In Box,6.19,1120,16333.0,United Kingdom,6932.8,"Rp 154,250,640",1,Monday,12,2
580363,2019-12-02,23582,Vintage Doily Jumbo Bag Red,6.19,1500,13868.0,United Kingdom,9285.0,"Rp 206,585,679",1,Monday,12,2
579936,2019-12-01,21787,Rain Poncho Retrospot,6.19,1200,12901.0,United Kingdom,7428.000000000001,"Rp 165,268,543",1,Sunday,12,1
579538,2019-11-30,20668,Disco Ball Christmas Decoration,6.19,864,14062.0,United Kingdom,5348.160000000001,"Rp 118,993,351",1,Saturday,11,30
579784,2019-11-30,84212,"Assorted Flower Colour ""Leis""",6.19,480,14258.0,United Kingdom,2971.2000000000003,"Rp 66,107,417",1,Saturday,11,30
579450,2019-11-29,84378,Set Of 3 Heart Cookie Cutters,6.19,774,12901.0,United Kingdom,4791.06,"Rp 106,598,210",1,Friday,11,29
579498,2019-11-29,23084,Rabbit Night Light,7.67,2040,12798.0,Japan,15646.8,"Rp 348,131,912",1,Friday,11,29
579191,2019-11-28,22030,Swallows Greeting Card,6.19,600,16684.0,United Kingdom,3714.0000000000005,"Rp 82,634,272",1,Thursday,11,28
579251,2019-11-28,22470,Heart Of Wicker Large,6.19,760,17450.0,United Kingdom,4704.400000000001,"Rp 104,670,077",1,Thursday,11,28
579251,2019-11-28,22469,Heart Of Wicker Small,6.19,600,17450.0,United Kingdom,3714.0000000000005,"Rp 82,634,272",1,Thursday,11,28
578679,2019-11-25,16014,Small Chinese Style Scissor,6.19,500,15117.0,United Kingdom,3095.0,"Rp 68,861,893",1,Monday,11,25
578793,2019-11-25,21137,Black Record Cover Frame,6.19,480,16210.0,United Kingdom,2971.2000000000003,"Rp 66,107,417",1,Monday,11,25
578841,2019-11-25,84826,Asstd Design 3d Paper Stickers,6.19,12540,13256.0,United Kingdom,77622.6,"Rp 1,727,056,276",1,Monday,11,25
577810,2019-11-22,22197,Popcorn Holder,6.13,1000,17949.0,United Kingdom,6130.0,"Rp 136,388,822",1,Friday,11,22
577822,2019-11-22,84347,Rotating Silver Angels T-Light Hldr,7.29,600,14607.0,United Kingdom,4374.0,"Rp 97,318,876",1,Friday,11,22
577852,2019-11-22,79321,Chilli Lights,5.97,480,16532.0,United Kingdom,2865.6,"Rp 63,757,881",1,Friday,11,22
578060,2019-11-22,23507,Mini Playing Cards Buffalo Bill,10.62,800,17857.0,United Kingdom,8496.0,"Rp 189,030,902",1,Friday,11,22
578060,2019-11-22,23510,Mini Playing Cards Gymkhana,10.62,800,17857.0,United Kingdom,8496.0,"Rp 189,030,902",1,Friday,11,22
577596,2019-11-21,84988,Set Of 72 Pink Heart Paper Doilies,11.53,312,18080.0,United Kingdom,3597.3599999999997,"Rp 80,039,102",1,Thursday,11,21
577720,2019-11-21,71477,Coloured Glass Star T-Light Holder,13.62,240,16013.0,United Kingdom,3268.7999999999997,"Rp 72,728,839",1,Thursday,11,21
577732,2019-11-21,84077,World War 2 Gliders Asstd Designs,10.47,288,15093.0,United Kingdom,3015.36,"Rp 67,089,951",1,Thursday,11,21
577747,2019-11-21,82583,Hot Baths Metal Sign,12.7,240,17450.0,United Kingdom,3048.0,"Rp 67,816,171",1,Thursday,11,21
577747,2019-11-21,21175,Gin And Tonic Diet Metal Sign,12.99,240,17450.0,United Kingdom,3117.6,"Rp 69,364,729",1,Thursday,11,21
577487,2019-11-20,71459,Hanging Jam Jar T-Light Holders,10.99,288,15061.0,United Kingdom,3165.12,"Rp 70,422,021",1,Wednesday,11,20
577529,2019-11-20,84568,Girls Alphabet Iron On Patches,10.47,288,17523.0,United Kingdom,3015.36,"Rp 67,089,951",1,Wednesday,11,20
577135,2019-11-18,84598,Boys Alphabet Iron On Patches,10.47,288,12427.0,Germany,3015.36,"Rp 67,089,951",1,Monday,11,18
577289,2019-11-18,22197,Popcorn Holder,10.99,300,12931.0,United Kingdom,3297.0,"Rp 73,356,272",1,Monday,11,18
577298,2019-11-18,22153,Angel Decoration Stars On Dress,10.62,288,14299.0,United Kingdom,3058.56,"Rp 68,051,125",1,Monday,11,18
577358,2019-11-18,23084,Rabbit Night Light,14.48,279,12358.0,Austria,4039.92,"Rp 89,885,796",1,Monday,11,18
577021,2019-11-17,21479,White Skull Hot Water Bottle,14.09,300,12931.0,United Kingdom,4227.0,"Rp 94,048,214",1,Sunday,11,17
577021,2019-11-17,23215,Jingle Bell Heart Antique Silver,12.08,456,12931.0,United Kingdom,5508.4800000000005,"Rp 122,560,375",1,Sunday,11,17
577064,2019-11-17,22998,Travel Card Wallet Keep Calm,10.62,480,16656.0,United Kingdom,5097.599999999999,"Rp 113,418,541",1,Sunday,11,17
576653,2019-11-16,22489,Pack Of 12 Traditional Crayons,10.62,288,14156.0,EIRE,3058.56,"Rp 68,051,125",1,Saturday,11,16
576827,2019-11-16,21787,Rain Poncho Retrospot,11.12,720,12901.0,United Kingdom,8006.4,"Rp 178,137,596",1,Saturday,11,16
C576831,2019-11-16,22071,Small White Retrospot Mug In Box,10.76,-244,12748.0,United Kingdom,-2625.44,"Rp -58,414,465",1,Saturday,11,16
C576831,2019-11-16,22070,Small Red Retrospot Mug In Box,10.76,-234,12748.0,United Kingdom,-2517.84,"Rp -56,020,429",1,Saturday,11,16
576374,2019-11-15,21232,Strawberry Ceramic Trinket Pot,11.34,504,13777.0,United Kingdom,5715.36,"Rp 127,163,331",1,Friday,11,15
576374,2019-11-15,22646,Ceramic Strawberry Cake Money Bank,11.53,250,13777.0,United Kingdom,2882.5,"Rp 64,133,896",1,Friday,11,15
576374,2019-11-15,84029E,Red Woolly Hottie White Heart,13.72,408,13777.0,United Kingdom,5597.76,"Rp 124,546,801",1,Friday,11,15
576374,2019-11-15,85123A,Cream Hanging Heart T-Light Holder,12.86,300,13777.0,United Kingdom,3858.0,"Rp 85,838,185",1,Friday,11,15
576394,2019-11-15,23084,Rabbit Night Light,12.08,960,12415.0,Australia,11596.8,"Rp 258,021,842",1,Friday,11,15
576586,2019-11-15,23084,Rabbit Night Light,12.08,240,12415.0,Australia,2899.2,"Rp 64,505,460",1,Friday,11,15
576608,2019-11-15,22616,Pack Of 12 London Tissues,10.58,864,17381.0,United Kingdom,9141.12,"Rp 203,384,435",1,Friday,11,15
576083,2019-11-14,23293,Set Of 12 Fairy Cake Baking Cases,11.1,256,17404.0,Sweden,2841.6,"Rp 63,223,895",1,Thursday,11,14
576083,2019-11-14,84077,World War 2 Gliders Asstd Designs,10.55,288,17404.0,Sweden,3038.4,"Rp 67,602,577",1,Thursday,11,14
576090,2019-11-14,85123A,Cream Hanging Heart T-Light Holder,13.53,320,17450.0,United Kingdom,4329.599999999999,"Rp 96,331,002",1,Thursday,11,14
576365,2019-11-14,23570,Traditional Pick Up Sticks Game,13.27,360,14365.0,United Kingdom,4777.2,"Rp 106,289,834",1,Thursday,11,14
576365,2019-11-14,23571,Traditional Naughts & Crosses,14.3,323,14365.0,United Kingdom,4618.900000000001,"Rp 102,767,754",1,Thursday,11,14
576365,2019-11-14,23378,Pack Of 12 50'S Christmas Tissues,11.27,281,14365.0,United Kingdom,3166.87,"Rp 70,460,957",1,Thursday,11,14
576365,2019-11-14,23084,Rabbit Night Light,15.32,404,14365.0,United Kingdom,6189.28,"Rp 137,707,766",1,Thursday,11,14
576365,2019-11-14,23077,Doughnut Lip Gloss,13.27,232,14365.0,United Kingdom,3078.64,"Rp 68,497,893",1,Thursday,11,14
576365,2019-11-14,22952,60 Cake Cases Vintage Christmas,11.79,256,14365.0,United Kingdom,3018.24,"Rp 67,154,029",1,Thursday,11,14
576365,2019-11-14,22910,Paper Chain Kit Vintage Christmas,17.37,244,14365.0,United Kingdom,4238.280000000001,"Rp 94,299,187",1,Thursday,11,14
576365,2019-11-14,22197,Popcorn Holder,12.25,1130,14365.0,United Kingdom,13842.5,"Rp 307,987,320",1,Thursday,11,14
576365,2019-11-14,22158,3 Hearts Hanging Decoration Rustic,17.37,326,14365.0,United Kingdom,5662.62,"Rp 125,989,897",1,Thursday,11,14
576365,2019-11-14,22130,Party Cone Christmas Decoration,11.95,654,14365.0,United Kingdom,7815.299999999999,"Rp 173,885,736",1,Thursday,11,14
576365,2019-11-14,22086,Paper Chain Kit 50'S Christmas,17.37,688,14365.0,United Kingdom,11950.560000000001,"Rp 265,892,790",1,Thursday,11,14
576365,2019-11-14,21915,Red Harmonica In Box,13.27,268,14365.0,United Kingdom,3556.3599999999997,"Rp 79,126,876",1,Thursday,11,14
576365,2019-11-14,21791,Vintage Heads And Tails Card Game,13.27,249,14365.0,United Kingdom,3304.23,"Rp 73,517,135",1,Thursday,11,14
576365,2019-11-14,21790,Vintage Snap Cards,12.25,268,14365.0,United Kingdom,3283.0,"Rp 73,044,780",1,Thursday,11,14
576365,2019-11-14,20971,Pink Blue Felt Craft Trinket Box,13.27,246,14365.0,United Kingdom,3264.42,"Rp 72,631,386",1,Thursday,11,14
576365,2019-11-14,84978,Hanging Heart Jar T-Light Holder,13.27,246,14365.0,United Kingdom,3264.42,"Rp 72,631,386",1,Thursday,11,14
576365,2019-11-14,23344,Jumbo Bag 50'S Christmas,7.66,392,14365.0,United Kingdom,3002.7200000000003,"Rp 66,808,718",1,Thursday,11,14
575933,2019-11-13,22909,Set Of 20 Vintage Christmas Napkins,10.99,288,14911.0,EIRE,3165.12,"Rp 70,422,021",1,Wednesday,11,13
575894,2019-11-11,21135,Victorian Metal Postcard Spring,10.45,576,12748.0,United Kingdom,6019.2,"Rp 133,923,588",1,Monday,11,11
575508,2019-11-10,22492,Mini Paint Set Vintage,10.81,576,14646.0,Netherlands,6226.56,"Rp 138,537,224",1,Sunday,11,10
575508,2019-11-10,21810,Christmas Hanging Star With Bell,10.65,384,14646.0,Netherlands,4089.6000000000004,"Rp 90,991,146",1,Sunday,11,10
575508,2019-11-10,22219,Lovebird Hanging Decoration White,10.99,288,14646.0,Netherlands,3165.12,"Rp 70,422,021",1,Sunday,11,10
575510,2019-11-10,22492,Mini Paint Set Vintage,10.81,576,14646.0,Netherlands,6226.56,"Rp 138,537,224",1,Sunday,11,10
575582,2019-11-10,85099B,Jumbo Bag Red Retrospot,6.04,1000,16986.0,United Kingdom,6040.0,"Rp 134,386,376",1,Sunday,11,10
575703,2019-11-10,22865,Hand Warmer Owl Design,12.15,288,13767.0,United Kingdom,3499.2000000000003,"Rp 77,855,100",1,Sunday,11,10
575725,2019-11-10,23319,Box Of 6 Mini 50'S Crackers,12.38,240,13098.0,United Kingdom,2971.2000000000003,"Rp 66,107,417",1,Sunday,11,10
575213,2019-11-09,21137,Black Record Cover Frame,13.72,480,16210.0,United Kingdom,6585.6,"Rp 146,525,649",1,Saturday,11,9
575214,2019-11-09,22617,Baking Set Spaceboy Design,14.61,216,16751.0,United Kingdom,3155.7599999999998,"Rp 70,213,767",1,Saturday,11,9
575219,2019-11-09,20668,Disco Ball Christmas Decoration,10.35,288,17511.0,United Kingdom,2980.7999999999997,"Rp 66,321,012",1,Saturday,11,9
575296,2019-11-09,21108,Fairy Cake Flannel Assorted Colour,11.06,540,16041.0,United Kingdom,5972.400000000001,"Rp 132,882,317",1,Saturday,11,9
575298,2019-11-09,20668,Disco Ball Christmas Decoration,10.35,288,17841.0,United Kingdom,2980.7999999999997,"Rp 66,321,012",1,Saturday,11,9
575328,2019-11-09,23194,Gymkhana Treasure Book Box,12.25,300,17857.0,United Kingdom,3675.0,"Rp 81,766,545",1,Saturday,11,9
575328,2019-11-09,23177,Treasure Island Book Box,12.25,300,17857.0,United Kingdom,3675.0,"Rp 81,766,545",1,Saturday,11,9
575328,2019-11-09,23176,Abc Treasure Book Box,12.25,300,17857.0,United Kingdom,3675.0,"Rp 81,766,545",1,Saturday,11,9
575328,2019-11-09,23193,Buffalo Bill Treasure Book Box,12.25,300,17857.0,United Kingdom,3675.0,"Rp 81,766,545",1,Saturday,11,9
575335,2019-11-09,22197,Popcorn Holder,10.99,700,12931.0,United Kingdom,7693.0,"Rp 171,164,634",1,Saturday,11,9
575335,2019-11-09,84879,Assorted Colour Bird Ornament,11.74,1200,12931.0,United Kingdom,14088.0,"Rp 313,449,547",1,Saturday,11,9
575335,2019-11-09,20974,12 Pencils Small Tube Skull,10.81,384,12931.0,United Kingdom,4151.04,"Rp 92,358,149",1,Saturday,11,9
575335,2019-11-09,23084,Rabbit Night Light,12.08,300,12931.0,United Kingdom,3624.0,"Rp 80,631,826",1,Saturday,11,9
C575341,2019-11-09,22992,Revolver Wooden Ruler,11.94,-276,12931.0,United Kingdom,-3295.44,"Rp -73,321,563",1,Saturday,11,9
C575341,2019-11-09,22991,Giraffe Wooden Ruler,11.94,-288,12931.0,United Kingdom,-3438.72,"Rp -76,509,457",1,Saturday,11,9
574830,2019-11-07,20668,Disco Ball Christmas Decoration,10.35,576,16053.0,United Kingdom,5961.599999999999,"Rp 132,642,023",1,Thursday,11,7
574860,2019-11-07,22714,Card Birthday Cowboy,10.62,500,17857.0,United Kingdom,5310.0,"Rp 118,144,314",1,Thursday,11,7
574941,2019-11-07,23570,Traditional Pick Up Sticks Game,13.27,384,15941.0,United Kingdom,5095.68,"Rp 113,375,823",1,Thursday,11,7
574941,2019-11-07,23571,Traditional Naughts & Crosses,14.3,370,15941.0,United Kingdom,5291.0,"Rp 117,721,575",1,Thursday,11,7
574941,2019-11-07,23084,Rabbit Night Light,15.32,628,15941.0,United Kingdom,9620.960000000001,"Rp 214,060,587",1,Thursday,11,7
574941,2019-11-07,23077,Doughnut Lip Gloss,13.27,350,15941.0,United Kingdom,4644.5,"Rp 103,337,338",1,Thursday,11,7
574941,2019-11-07,22952,60 Cake Cases Vintage Christmas,11.79,245,15941.0,United Kingdom,2888.5499999999997,"Rp 64,268,504",1,Thursday,11,7
574941,2019-11-07,22910,Paper Chain Kit Vintage Christmas,17.37,171,15941.0,United Kingdom,2970.27,"Rp 66,086,725",1,Thursday,11,7
574941,2019-11-07,22197,Popcorn Holder,12.25,1820,15941.0,United Kingdom,22295.0,"Rp 496,050,373",1,Thursday,11,7
574941,2019-11-07,22158,3 Hearts Hanging Decoration Rustic,17.37,163,15941.0,United Kingdom,2831.31,"Rp 62,994,949",1,Thursday,11,7
574941,2019-11-07,22086,Paper Chain Kit 50'S Christmas,17.37,478,15941.0,United Kingdom,8302.86,"Rp 184,733,653",1,Thursday,11,7
574941,2019-11-07,21915,Red Harmonica In Box,13.27,335,15941.0,United Kingdom,4445.45,"Rp 98,908,595",1,Thursday,11,7
574941,2019-11-07,21790,Vintage Snap Cards,12.25,253,15941.0,United Kingdom,3099.25,"Rp 68,956,453",1,Thursday,11,7
574941,2019-11-07,20971,Pink Blue Felt Craft Trinket Box,13.27,242,15941.0,United Kingdom,3211.3399999999997,"Rp 71,450,388",1,Thursday,11,7
574941,2019-11-07,84347,Rotating Silver Angels T-Light Hldr,16.35,236,15941.0,United Kingdom,3858.6000000000004,"Rp 85,851,535",1,Thursday,11,7
574941,2019-11-07,23344,Jumbo Bag 50'S Christmas,7.66,484,15941.0,United Kingdom,3707.44,"Rp 82,488,316",1,Thursday,11,7
574941,2019-11-07,23203,Jumbo Bag Vintage Doily,7.66,375,15941.0,United Kingdom,2872.5,"Rp 63,911,402",1,Thursday,11,7
574324,2019-11-04,23355,Hot Water Bottle Keep Calm,14.5,360,16684.0,United Kingdom,5220.0,"Rp 116,141,868",1,Monday,11,4
574328,2019-11-04,15034,Paper Pocket Traveling Fan,10.39,288,13081.0,United Kingdom,2992.32,"Rp 66,577,325",1,Monday,11,4
574341,2019-11-04,21874,Gin And Tonic Mug,11.22,432,18102.0,United Kingdom,4847.04,"Rp 107,843,732",1,Monday,11,4
574341,2019-11-04,21070,Vintage Billboard Mug,11.07,432,18102.0,United Kingdom,4782.24,"Rp 106,401,971",1,Monday,11,4
574341,2019-11-04,21872,Glamorous Mug,11.07,432,18102.0,United Kingdom,4782.24,"Rp 106,401,971",1,Monday,11,4
574341,2019-11-04,21068,Vintage Billboard Love/Hate Mug,11.07,432,18102.0,United Kingdom,4782.24,"Rp 106,401,971",1,Monday,11,4
574341,2019-11-04,21066,Vintage Red Mug,11.07,432,18102.0,United Kingdom,4782.24,"Rp 106,401,971",1,Monday,11,4
574341,2019-11-04,22302,Coffee Mug Pears Design,11.4,432,18102.0,United Kingdom,4924.8,"Rp 109,573,845",1,Monday,11,4
574341,2019-11-04,22301,Coffee Mug Cat + Bird Design,11.4,432,18102.0,United Kingdom,4924.8,"Rp 109,573,845",1,Monday,11,4
574341,2019-11-04,22303,Coffee Mug Apples Design,11.4,432,18102.0,United Kingdom,4924.8,"Rp 109,573,845",1,Monday,11,4
574341,2019-11-04,22300,Coffee Mug Dog + Ball Design,11.4,432,18102.0,United Kingdom,4924.8,"Rp 109,573,845",1,Monday,11,4
574341,2019-11-04,21871,Save The Planet Mug,11.07,432,18102.0,United Kingdom,4782.24,"Rp 106,401,971",1,Monday,11,4
574341,2019-11-04,22304,Coffee Mug Blue Paisley Design,11.4,432,18102.0,United Kingdom,4924.8,"Rp 109,573,845",1,Monday,11,4
574469,2019-11-04,23084,Rabbit Night Light,12.08,336,12431.0,Australia,4058.88,"Rp 90,307,645",1,Monday,11,4
574533,2019-11-04,16008,Small Folding Scissor(Pointed Edge),10.37,288,12928.0,United Kingdom,2986.56,"Rp 66,449,168",1,Monday,11,4
574092,2019-11-03,22077,6 Ribbons Rustic Charm,11.94,288,16684.0,United Kingdom,3438.72,"Rp 76,509,457",1,Sunday,11,3
574092,2019-11-03,22659,Lunch Box I Love London,11.94,320,16684.0,United Kingdom,3820.7999999999997,"Rp 85,010,508",1,Sunday,11,3
574092,2019-11-03,23356,Love Hot Water Bottle,15.32,264,16684.0,United Kingdom,4044.48,"Rp 89,987,253",1,Sunday,11,3
574092,2019-11-03,23005,Travel Card Wallet I Love London,10.62,480,16684.0,United Kingdom,5097.599999999999,"Rp 113,418,541",1,Sunday,11,3
574092,2019-11-03,21212,Pack Of 72 Retrospot Cake Cases,10.68,480,16684.0,United Kingdom,5126.4,"Rp 114,059,324",1,Sunday,11,3
574092,2019-11-03,22616,Pack Of 12 London Tissues,10.58,432,16684.0,United Kingdom,4570.56,"Rp 101,692,218",1,Sunday,11,3
574092,2019-11-03,21982,Pack Of 12 Suki Tissues,10.58,432,16684.0,United Kingdom,4570.56,"Rp 101,692,218",1,Sunday,11,3
574242,2019-11-03,23366,Set 12 Colouring Pencils Doily,10.81,384,17653.0,United Kingdom,4151.04,"Rp 92,358,149",1,Sunday,11,3
574285,2019-11-03,21733,Red Hanging Heart T-Light Holder,13.53,416,17450.0,United Kingdom,5628.48,"Rp 125,230,303",1,Sunday,11,3
574285,2019-11-03,85123A,Cream Hanging Heart T-Light Holder,13.53,224,17450.0,United Kingdom,3030.72,"Rp 67,431,702",1,Sunday,11,3
574293,2019-11-03,85123A,Cream Hanging Heart T-Light Holder,13.53,992,17450.0,United Kingdom,13421.76,"Rp 298,626,107",1,Sunday,11,3
574293,2019-11-03,22470,Heart Of Wicker Large,13.53,252,17450.0,United Kingdom,3409.56,"Rp 75,860,664",1,Sunday,11,3
574293,2019-11-03,22469,Heart Of Wicker Small,12.23,630,17450.0,United Kingdom,7704.900000000001,"Rp 171,429,402",1,Sunday,11,3
574294,2019-11-03,22086,Paper Chain Kit 50'S Christmas,12.86,1020,16333.0,United Kingdom,13117.199999999999,"Rp 291,849,830",1,Sunday,11,3
574294,2019-11-03,21891,Traditional Wooden Skipping Rope,11.53,720,16333.0,United Kingdom,8301.6,"Rp 184,705,619",1,Sunday,11,3
574294,2019-11-03,21915,Red Harmonica In Box,11.34,2100,16333.0,United Kingdom,23814.0,"Rp 529,847,212",1,Sunday,11,3
574295,2019-11-03,21588,Retrospot Giant Tube Matches,12.4,264,17389.0,United Kingdom,3273.6,"Rp 72,835,636",1,Sunday,11,3
574295,2019-11-03,22666,Recipe Box Pantry Yellow Design,12.86,336,17389.0,United Kingdom,4320.96,"Rp 96,138,767",1,Sunday,11,3
573982,2019-11-02,21787,Rain Poncho Retrospot,11.12,360,12901.0,United Kingdom,4003.2,"Rp 89,068,798",1,Saturday,11,2
573995,2019-11-02,16014,Small Chinese Style Scissor,10.58,3000,16308.0,United Kingdom,31740.0,"Rp 706,195,956",1,Saturday,11,2
574012,2019-11-02,21703,Bag 125g Swirly Marbles,10.53,864,12830.0,United Kingdom,9097.92,"Rp 202,423,261",1,Saturday,11,2
574012,2019-11-02,21790,Vintage Snap Cards,10.84,288,12830.0,United Kingdom,3121.92,"Rp 69,460,847",1,Saturday,11,2
574014,2019-11-02,23247,Biscuit Tin 50'S Christmas,13.21,216,12415.0,Australia,2853.36,"Rp 63,485,548",1,Saturday,11,2
574044,2019-11-02,21137,Black Record Cover Frame,13.72,240,16210.0,United Kingdom,3292.8,"Rp 73,262,824",1,Saturday,11,2
573153,2019-10-28,23084,Rabbit Night Light,12.08,912,12678.0,France,11016.960000000001,"Rp 245,120,750",1,Monday,10,28
573156,2019-10-28,22998,Travel Card Wallet Keep Calm,10.62,480,16656.0,United Kingdom,5097.599999999999,"Rp 113,418,541",1,Monday,10,28
573261,2019-10-28,22197,Popcorn Holder,10.99,1992,17949.0,United Kingdom,21892.08,"Rp 487,085,645",1,Monday,10,28
573002,2019-10-27,22467,Gumball Coat Rack,12.4,288,14646.0,Netherlands,3571.2000000000003,"Rp 79,457,057",1,Sunday,10,27
573002,2019-10-27,23346,Spaceboy Beaker,11.36,400,14646.0,Netherlands,4544.0,"Rp 101,101,274",1,Sunday,10,27
573003,2019-10-27,23084,Rabbit Night Light,12.38,2400,14646.0,Netherlands,29712.000000000004,"Rp 661,074,173",1,Sunday,10,27
573005,2019-10-27,17003,Brocade Ring Purse,10.51,720,17414.0,United Kingdom,7567.2,"Rp 168,365,660",1,Sunday,10,27
573008,2019-10-27,84077,World War 2 Gliders Asstd Designs,10.47,4800,12901.0,United Kingdom,50256.0,"Rp 1,118,165,846",1,Sunday,10,27
573146,2019-10-27,17003,Brocade Ring Purse,10.58,720,16422.0,United Kingdom,7617.6,"Rp 169,487,029",1,Sunday,10,27
572765,2019-10-26,71477,Coloured Glass Star T-Light Holder,13.07,384,16013.0,United Kingdom,5018.88,"Rp 111,667,069",1,Saturday,10,26
572765,2019-10-26,79321,Chilli Lights,15.32,192,16013.0,United Kingdom,2941.44,"Rp 65,445,275",1,Saturday,10,26
572766,2019-10-26,71477,Coloured Glass Star T-Light Holder,13.07,240,16013.0,United Kingdom,3136.8,"Rp 69,791,918",1,Saturday,10,26
572772,2019-10-26,20668,Disco Ball Christmas Decoration,10.35,288,17511.0,United Kingdom,2980.7999999999997,"Rp 66,321,012",1,Saturday,10,26
572845,2019-10-26,22178,Victorian Glass Hanging T-Light,11.17,960,16013.0,United Kingdom,10723.2,"Rp 238,584,766",1,Saturday,10,26
572869,2019-10-26,23084,Rabbit Night Light,12.08,960,12798.0,Japan,11596.8,"Rp 258,021,842",1,Saturday,10,26
572881,2019-10-26,72803A,Rose Scent Candle Jewelled Drawer,10.76,408,12748.0,United Kingdom,4390.08,"Rp 97,676,646",1,Saturday,10,26
572881,2019-10-26,72802C,Vanilla Scent Candle Jewelled Box,10.76,378,12748.0,United Kingdom,4067.2799999999997,"Rp 90,494,540",1,Saturday,10,26
572902,2019-10-26,22952,60 Cake Cases Vintage Christmas,10.81,288,14866.0,United Kingdom,3113.28,"Rp 69,268,612",1,Saturday,10,26
572670,2019-10-25,22065,Christmas Pudding Trinket Pot,10.65,1200,13685.0,United Kingdom,12780.0,"Rp 284,347,332",1,Friday,10,25
572670,2019-10-25,72818,Christmas Decoupage Candle,10.65,324,13685.0,United Kingdom,3450.6,"Rp 76,773,780",1,Friday,10,25
572696,2019-10-25,22727,Alarm Clock Bakelike Red,13.72,400,17857.0,United Kingdom,5488.0,"Rp 122,104,707",1,Friday,10,25
572696,2019-10-25,22728,Alarm Clock Bakelike Pink,13.72,400,17857.0,United Kingdom,5488.0,"Rp 122,104,707",1,Friday,10,25
572734,2019-10-25,22610,Pens Assorted Funny Face,10.44,360,13694.0,United Kingdom,3758.3999999999996,"Rp 83,622,145",1,Friday,10,25
